Eval;Branches;Iterations;Parts;min MAE;real Time;sum Time;avg Mae;avg Time;
Random;4;1;1;2.697910151894499;7;21;15.140762891112022;5;
LSFI;4;1;1;2.697910151894499;3;8;15.140762891112022;2;
LSBI;4;1;1;2.697910151894499;3;5;15.140762891112022;1;
Random;8;1;1;0.2151500371977196;2;8;13.74074722143912;1;
LSFI;8;1;1;0.2151500371977196;2;8;13.74074722143912;1;
LSBI;8;1;1;0.2151500371977196;2;7;13.74074722143912;0;
Random;16;1;1;0.2151500371977196;5;15;13.963892587633238;0;
LSFI;16;1;1;0.2151500371977196;10;83;13.963892587633238;5;
LSBI;16;1;1;0.2151500371977196;9;75;14.08843999746994;4;
Random;32;1;1;0.2151500371977196;17;298;14.36798719640165;9;
LSFI;32;1;1;0.2151500371977196;19;307;14.36798719640165;9;
LSBI;32;1;1;0.2151500371977196;19;241;14.737799676850242;7;
Random;4;1000;999;0.001517151298089152;214;852;0.006524140287581902;213;
Random;4;1000;499;0.0028879309773646895;179;716;0.0038307698179455576;179;
LSFI;4;1000;499;0.0019259721856872622;35699;139817;0.0034090818596966108;34954;
LSBI;4;1000;499;0.0017203574002113082;37420;149262;0.0034862075564505183;37315;
Random;8;1000;499;0.0028879309773646895;100;710;0.005880366261018012;88;
LSFI;8;1000;499;0.0014776968690036981;41357;322519;0.003483405172477142;40314;
LSBI;8;1000;499;9.731831604042594E-4;61466;490094;0.002338691522764498;61261;
Random;16;1000;499;0.0028879309773646895;208;2289;0.008183099518487356;143;
LSFI;16;1000;499;0.0014157905206258592;111567;1729767;0.0035187814646540747;108110;
LSBI;16;1000;499;6.149038808885824E-4;129532;2034784;0.0028601597807350063;127174;
Random;32;1000;499;0.0017465178500541468;367;9347;0.007041277331570831;292;
LSFI;32;1000;499;4.869483241958784E-4;255028;7912203;0.003320282808326266;247256;
LSBI;32;1000;499;6.149038808885824E-4;269704;8562903;0.0026108029917106448;267590;
Random;4;5000;499;0.0020225792949157403;365;1448;0.0027536364647538824;362;
LSFI;4;5000;499;0.0016321170582820294;226910;903849;0.0029631289727584183;225962;
LSBI;4;5000;499;0.0010351903309960245;228756;914804;0.002902983141340412;228701;
Random;8;5000;499;0.0020225792949157403;1789;14023;0.004292549388189741;1752;
LSFI;8;5000;499;0.0010995543817242212;351614;2783322;0.0027044632255637203;347915;
LSBI;8;5000;499;5.078565539503766E-4;352822;2814179;0.0018638193794083798;351772;
Random;16;5000;499;0.0020225792949157403;1493;20306;0.00618685094591217;1269;
